Set 0,18h26m33s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,Time,ThreshHold
,,,,,,,,,,2.718,194
,,,,,,,,,,2.733,194
,,,,,,,,,,2.751,194
,,,,,,,,,,2.767,192
,,,,,,,,,,2.785,192
,,,,,,,,,,2.801,190
,,,,,,,,,,2.818,190
,,,,,,,,,,2.835,190
,,,,,,,,,,2.851,190
,,,,,,,,,,2.868,190
,,,,,,,,,,2.884,192
,,,,,,,,,,2.901,190
,,,,,,,,,,2.917,188
,,,,,,,,,,2.935,188
,,,,,,,,,,2.951,188
,,,,,,,,,,2.969,190
,,,,,,,,,,2.984,188
,,,,,,,,,,3.001,186
,,,,,,,,,,3.018,186
,,,,,,,,,,3.034,184
,,,,,,,,,,3.051,184
,,,,,,,,,,3.067,186
,,,,,,,,,,3.085,186
,,,,,,,,,,3.101,186
,,,,,,,,,,3.118,184
,,,,,,,,,,3.135,182
,,,,,,,,,,3.15,182
,,,,,,,,,,3.168,180
,,,,,,,,,,3.185,178
,,,,,,,,,,3.201,180
,,,,,,,,,,3.218,178
,,,,,,,,,,3.234,178
,,,,,,,,,,3.251,178
,,,,,,,,,,3.267,178
,,,,,,,,,,3.285,176
,,,,,,,,,,3.301,174
,,,,,,,,,,3.319,172
,,,,,,,,,,3.334,168
,,,,,,,,,,3.351,164
,,,,,,,,,,3.367,158
,,,,,,,,,,3.384,156
,,,,,,,,,,3.401,148
,,,,,,,,,,3.418,148
,,,,,,,,,,3.434,148
,,,,,,,,,,3.452,142
,,,,,,,,,,3.468,138
,,,,,,,,,,3.484,134
,,,,,,,,,,3.501,130
,,,,,,,,,,3.517,128
,,,,,,,,,,3.535,124
,,,,,,,,,,3.551,122
,,,,,,,,,,3.567,122
,,,,,,,,,,3.584,124
,,,,,,,,,,3.602,126
,,,,,,,,,,3.618,124
,,,,,,,,,,3.634,120
,,,,,,,,,,3.652,116
,,,,,,,,,,3.668,114
,,,,,,,,,,3.684,110
,,,,,,,,,,3.701,104
,,,,,,,,,,3.717,100
,,,,,,,,,,3.734,98
,,,,,,,,,,3.751,94
,,,,,,,,,,3.767,94
,,,,,,,,,,3.785,90
,,,,,,,,,,3.785,88
,,,,,,,,,,3.785,84
,,,,,,,,,,3.785,82
,,,,,,,,,,3.785,80
,,,,,,,,,,3.785,80
,,,,,,,,,,3.785,82
,,,,,,,,,,3.785,82
,,,,,,,,,,3.785,86
,,,,,,,,,,3.785,88
,,,,,,,,,,3.785,94
,,,,,,,,,,3.785,94
,,,,,,,,,,3.785,92
,,,,,,,,,,3.785,90
,,,,,,,,,,3.785,88
,,,,,,,,,,3.785,88
,,,,,,,,,,3.785,86
,,,,,,,,,,3.785,86
,,,,,,,,,,3.785,86
,,,,,,,,,,3.785,84
,,,,,,,,,,3.785,86
,,,,,,,,,,3.785,88
,,,,,,,,,,3.785,94
,,,,,,,,,,3.785,96
,,,,,,,,,,3.785,102
,,,,,,,,,,3.785,108
,,,,,,,,,,3.785,114
,,,,,,,,,,3.785,124
,,,,,,,,,,3.785,128
,,,,,,,,,,3.785,124
,,,,,,,,,,3.785,104
,,,,,,,,,,3.785,94
,,,,,,,,,,3.785,88
,,,,,,,,,,3.785,94
,,,,,,,,,,3.785,102
,,,,,,,,,,3.785,124
,,,,,,,,,,3.785,138
,,,,,,,,,,3.785,148
,,,,,,,,,,3.785,156
,,,,,,,,,,3.785,166
,,,,,,,,,,3.785,176
,,,,,,,,,,3.785,180
,,,,,,,,,,3.785,182
,,,,,,,,,,3.785,184
,,,,,,,,,,3.785,184
,,,,,,,,,,3.785,186
,,,,,,,,,,3.785,184
,,,,,,,,,,3.785,186
,,,,,,,,,,3.785,186
,,,,,,,,,,3.785,186
,,,,,,,,,,3.785,186
,,,,,,,,,,3.785,186
,,,,,,,,,,3.785,186
,,,,,,,,,,3.785,186
,,,,,,,,,,3.785,188
,,,,,,,,,,3.785,190
,,,,,,,,,,3.785,194
,,,,,,,,,,3.785,196
,,,,,,,,,,3.785,198
,,,,,,,,,,3.785,204
,,,,,,,,,,3.785,204
,,,,,,,,,,3.785,206
,,,,,,,,,,3.785,206
,,,,,,,,,,3.785,206
,,,,,,,,,,3.785,208
,,,,,,,,,,3.785,208
,,,,,,,,,,3.785,208
,,,,,,,,,,3.785,208
,,,,,,,,,,3.785,208
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,208
,,,,,,,,,,3.785,208
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,214
,,,,,,,,,,3.785,214
,,,,,,,,,,3.785,214
,,,,,,,,,,3.785,214
,,,,,,,,,,3.785,214
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,214
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,214
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,210
,,,,,,,,,,3.785,214
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,212
,,,,,,,,,,3.785,214
,,,,,,,,,,3.785,216
,,,,,,,,,,3.785,220
,,,,,,,,,,3.785,224
,,,,,,,,,,3.785,230
,,,,,,,,,,3.785,236
,,,,,,,,,,3.785,246
,,,,,,,,,,3.785,248
,,,,,,,,,,3.785,250
,,,,,,,,,,3.785,250
,,,,,,,,,,3.785,252
,,,,,,,,,,3.785,252
,,,,,,,,,,3.785,252
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,252
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,254
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,260
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,260
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,260
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,256
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
,,,,,,,,,,3.785,258
